id_cliente,nome,email,cpf,telefone,data_nascimento,genero,logradouro,cidade,estado,cep,data_cadastro,updated_at
2654,Anna Liz da Luz,ribeirodom@example.net,349.281.706-87,+55 61 4391-5936,1979-05-19,M,"Vale Vinicius Lopes, 85",Cirino das Pedras,MA,13387960,2023-08-16T00:00:00,2025-07-09T00:00:00
2655,Anthony das Neves,duartebarbara@example.net,830.754.621-44,(021) 6312 1283,1988-06-09,F,"Chácara de Abreu, 306",Camargo Grande,SE,90921-890,2025-07-23T00:00:00,2025-11-22T00:00:00
2656,Arthur Pacheco,da-cruzjose-pedro@example.com,318.740.265-80,(061) 0031-8513,2000-05-04,M,"Alameda de Fonseca, 40",Guerra Alegre,PE,55024-360,2025-02-01T00:00:00,2026-01-05T00:00:00
2657,Cauã Caldeira,da-cruzluisa@example.net,406.785.231-26,+55 71 2664 9784,1968-01-26,M,"Recanto Silveira, 11",Fonseca,AM,45287-914,2025-06-07T00:00:00,2026-06-06T00:00:00
2658,Stella Barbosa,ana-ceciliaviana@example.org,571.486.039-00,84 4716-7110,1952-10-17,M,"Morro de Barbosa, 921",da Mata,SE,99692717,2023-10-23T00:00:00,2026-04-13T00:00:00
2659,Fernanda da Cunha,henry-gabrielmendes@example.com,230.159.687-77,+55 (061) 4869-6635,2002-11-21,Outro,"Pátio João Pedro da Conceição, 71",da Paz,MG,97533284,2024-01-24T00:00:00,2024-08-07T00:00:00
2660,Henry Pereira,joao-pedro35@example.org,398.726.504-38,51 2309 2707,1980-01-31,Outro,"Via de Gomes, 191",Novais,PA,29242-999,2025-02-05T00:00:00,2025-07-17T00:00:00
2661,Srta. Maria Helena Costa,cmendonca@example.org,923.518.074-05,84 8331 7430,1955-06-20,Outro,Trevo de Silveira,Aparecida,RJ,51745-809,2024-05-15T00:00:00,2024-07-01T00:00:00
2662,Olivia da Rosa,limaalice@example.net,927.108.435-79,+55 61 9426 0218,1955-11-29,F,"Trecho de Fonseca, 68",Andrade,SE,67807395,2024-01-23T00:00:00,2025-07-24T00:00:00
2663,Clara Câmara,vasconceloslucas-gabriel@example.com,784.605.321-35,+55 (011) 7485-6136,1972-09-24,M,"Sítio Macedo, 54",Gonçalves de Viana,AL,19821121,2023-11-01T00:00:00,2024-10-01T00:00:00
2664,Sofia Fernandes,riosgael-henrique@example.org,602.715.934-07,+55 (031) 5991 4709,2005-01-23,Outro,"Passarela de Freitas, 7",Vargas da Prata,RJ,37961357,2024-07-27T00:00:00,2024-12-03T00:00:00
2665,Emilly Jesus,salesmathias@example.org,941.063.875-57,0300 495 1680,1997-10-19,Outro,"Morro Aparecida, 822",Cavalcante de Nascimento,AP,63453-004,2025-09-28T00:00:00,2026-01-13T00:00:00
2666,Ana Clara Câmara,silvaalexia@example.net,164.582.703-80,(061) 8424 6708,2002-10-05,M,"Aeroporto Yan da Costa, 83",Ribeiro,PE,56981104,2025-08-21T00:00:00,2025-09-23T00:00:00
2667,Lavínia Nascimento,renan18@example.org,467.083.591-20,+55 71 3218-1264,1956-12-12,Outro,Vale Bella Jesus,Teixeira de Fonseca,SP,69120-135,2025-03-05T00:00:00,2026-03-24T00:00:00
2668,Helena da Rocha,joao-pedrooliveira@example.net,268.049.135-15,31 8728 1362,2005-10-14,F,"Quadra Luigi Machado, 505",Cunha,PE,17946238,2025-11-08T00:00:00,2026-02-11T00:00:00
2669,Nicolas Pires,juliaoliveira@example.org,507.182.439-60,+55 (011) 0474-6395,1960-12-06,F,"Vereda Helena Correia, 71",Costela,RR,80736511,2025-08-08T00:00:00,2025-11-07T00:00:00
2670,Gael Henrique Castro,qda-mata@example.net,750.924.168-58,0300 790 1437,1964-11-01,Outro,"Praia Vitor Gabriel Albuquerque, 2",Cassiano,PR,33001-929,2025-02-04T00:00:00,2025-10-31T00:00:00
2671,Dra. Vitória Aparecida,oliviasales@example.org,095.284.617-94,21 7594-6261,1962-12-06,F,"Praça Vieira, 128",Garcia,RJ,17300271,2025-10-10T00:00:00,2026-02-08T00:00:00
2672,João Pedro Sá,ucardoso@example.com,384.219.750-05,+55 (081) 4102 6803,1964-10-28,Outro,Quadra de Sá,Silveira da Praia,RS,08723395,2025-04-01T00:00:00,2026-02-21T00:00:00
2673,Renan Nascimento,sousadavi-lucca@example.com,312.658.470-53,0500-826-4258,1959-02-02,M,"Ladeira Sara Gonçalves, 99",Melo de Silva,DF,56510018,2023-03-16T00:00:00,2024-05-13T00:00:00
2674,Igor Dias,smelo@example.net,215.890.674-01,11 2756 1713,1983-09-04,F,"Vale de Sales, 37",Machado de Albuquerque,DF,12562-487,2025-07-14T00:00:00,2025-11-11T00:00:00
2675,Ana Sophia Peixoto,eduardavasconcelos@example.com,256.813.049-06,(051) 1238 1962,1996-06-20,F,"Via da Conceição, 45",Mendonça dos Dourados,RJ,33623-425,2024-09-18T00:00:00,2025-11-27T00:00:00
2676,Clarice Nascimento,vlima@example.org,647.521.839-19,(051) 3824-0793,1996-09-04,F,"Rodovia Peixoto, 688",Aparecida da Praia,GO,06337067,2023-11-18T00:00:00,2026-03-29T00:00:00
2677,Bruna Alves,joao-gabriel85@example.com,789.156.024-20,+55 (021) 8230-8803,1971-09-11,M,"Sítio de Machado, 5",Campos,SP,36466604,2026-02-01T00:00:00,2026-02-22T00:00:00
2678,Sra. Isis Farias,kevinnogueira@example.com,357.648.210-53,31 4159 7054,1995-07-10,F,"Lagoa Ferreira, 50",Ramos de Goiás,PE,56657262,2023-06-22T00:00:00,2025-02-15T00:00:00
2679,Dr. Enzo Gabriel Gonçalves,stephany59@example.com,256.804.731-35,(031) 8800-4598,1993-04-07,Outro,"Ladeira Barros, 296",Rios de Jesus,AL,43290-765,2024-12-21T00:00:00,2025-08-13T00:00:00
2680,Caroline da Cunha,sophia98@example.com,745.298.601-67,(061) 8144-6494,1987-09-22,Outro,"Trevo de Cassiano, 68",Aparecida,MT,15343-366,2025-08-10T00:00:00,2026-04-29T00:00:00
2681,Bella Rios,sofiabarros@example.org,710.642.839-69,11 9465-2256,1973-06-26,F,"Estação Oliver Sá, 6",Abreu,PA,13270-872,2025-05-22T00:00:00,2026-01-07T00:00:00
2682,Dr. Murilo Gonçalves,lucasda-conceicao@example.org,896.702.135-68,(071) 1333-9597,1968-11-16,F,"Núcleo Teixeira, 79",Pacheco do Oeste,MT,49170775,2025-04-17T00:00:00,2025-10-22T00:00:00
2683,Nina Siqueira,breno93@example.com,024.195.786-94,+55 (051) 2562 3640,1974-03-07,M,"Rodovia Jesus, 16",Mendes da Mata,CE,07670-310,2024-07-13T00:00:00,2025-08-08T00:00:00
2684,Lucas Campos,barrosluigi@example.com,761.943.502-61,84 3586-5581,1996-03-25,F,"Ladeira de Nascimento, 15",Lopes de Goiás,RS,30678-738,2025-06-23T00:00:00,2025-10-20T00:00:00
2685,Brayan Barbosa,portoluna@example.org,429.638.075-38,(084) 1393-8630,2003-09-30,M,"Núcleo de Montenegro, 35",Vieira,MA,22816182,2023-06-05T00:00:00,2025-06-09T00:00:00
2686,Hadassa Costela,theoribeiro@example.org,946.705.321-70,+55 51 8157 7504,1955-06-13,Outro,"Largo Abreu, 48",Cavalcante,RS,92239-668,2025-10-24T00:00:00,2026-03-04T00:00:00
2687,Caroline Pacheco,juliada-cruz@example.org,786.409.125-30,0800-005-2238,1983-08-21,M,"Esplanada Porto, 46",da Cunha de Mendes,AM,26618-407,2023-06-10T00:00:00,2024-12-27T00:00:00
2688,Srta. Zoe Siqueira,mrios@example.com,196.032.758-59,+55 (021) 7008-7803,1961-01-24,F,Trecho de Mendes,Leão,AL,83475480,2023-08-31T00:00:00,2023-11-12T00:00:00
2689,Diogo Pimenta,da-mataluana@example.com,260.483.751-07,+55 (041) 7223 8970,1982-01-16,F,"Loteamento de Casa Grande, 9",Souza,DF,49001871,2026-01-23T00:00:00,2026-03-15T00:00:00
2690,Danilo Cirino,psiqueira@example.com,618.479.520-11,+55 (021) 3193 9810,2000-04-10,F,"Recanto Ana Lívia Camargo, 23",Ribeiro do Amparo,SC,07330-192,2024-11-05T00:00:00,2025-07-19T00:00:00
2691,Rebeca Pires,diegoda-cruz@example.org,031.879.264-87,21 6309-3645,1983-01-20,Outro,"Loteamento de Lima, 534",Macedo,RN,86189-319,2024-07-16T00:00:00,2025-01-27T00:00:00
2692,Guilherme Barros,leticiarezende@example.org,035.462.978-65,+55 (021) 3616-6033,1964-12-02,Outro,"Viela Arthur Vargas, 98",Borges Alegre,SC,53123-415,2023-10-10T00:00:00,2026-03-03T00:00:00
2693,Pietra Fernandes,camargotheo@example.net,416.957.803-10,11 1232-1275,1987-01-07,M,Conjunto de da Mata,Montenegro do Amparo,SP,72277015,2026-01-17T00:00:00,2026-03-24T00:00:00
2694,Sr. Benjamim Rodrigues,murilo76@example.net,130.564.792-07,(084) 2080-9649,1959-12-05,F,"Parque Martins, 79",Câmara,SE,09539-349,2024-09-05T00:00:00,2025-06-20T00:00:00
2695,Heitor Abreu,mmelo@example.com,673.108.459-00,61 6133 9262,1980-10-05,Outro,Viela de Moreira,Siqueira,SP,89526-492,2025-04-07T00:00:00,2025-10-31T00:00:00
2696,Maria Eduarda Rios,emilly25@example.org,416.035.829-24,+55 (061) 3951-7451,1996-04-04,Outro,"Campo de da Costa, 86",Costela,PE,41683-789,2023-01-25T00:00:00,2025-09-17T00:00:00
2697,Miguel Fonseca,emanuella27@example.net,713.806.592-21,+55 61 0337 3361,1984-07-07,F,"Lagoa Rodrigues, 71",Silva,ES,33988-325,2023-11-02T00:00:00,2026-04-06T00:00:00
2698,Sr. Carlos Eduardo Barbosa,leandro87@example.com,632.710.859-86,+55 (011) 1326 8431,1955-01-11,Outro,"Trevo Arthur Leão, 5",Martins de Goiás,DF,36705361,2024-04-09T00:00:00,2026-04-19T00:00:00
2699,Srta. Lívia Camargo,francisco34@example.net,072.418.639-50,(041) 6906 1533,1992-05-19,Outro,"Passarela de Camargo, 23",Cirino de Farias,RJ,39719022,2025-08-29T00:00:00,2025-12-26T00:00:00
2700,Helena Costa,agathanogueira@example.com,608.371.594-66,+55 21 8649-9927,1986-03-13,F,"Via Moura, 981",Vargas das Flores,SC,91894420,2026-02-05T00:00:00,2026-05-12T00:00:00
2701,Cecilia Porto,hadassa52@example.net,130.258.469-33,+55 51 4726 7890,1966-07-14,M,"Aeroporto Pinto, 96",Moraes do Campo,MT,33171803,2025-08-02T00:00:00,2026-01-23T00:00:00
2702,Maria Cecília Souza,limavicente@example.com,465.817.093-01,+55 11 7310-2511,1990-07-22,Outro,"Largo Costa, 87",Cirino,PA,92085-554,2024-01-20T00:00:00,2025-04-03T00:00:00
2703,Dr. Anthony Gabriel da Rocha,novaisfelipe@example.org,754.619.320-61,0800 837 8321,1983-11-21,F,"Alameda Pereira, 47",da Costa,PI,83713279,2024-03-05T00:00:00,2025-05-28T00:00:00
2704,Gustavo Henrique Sampaio,lucas-gabrielcavalcante@example.com,304.785.629-00,(011) 5823 0860,1972-10-22,M,"Distrito de Machado, 62",Mendonça da Serra,RJ,41270229,2023-03-03T00:00:00,2025-04-08T00:00:00
2705,Manuella Ribeiro,iramos@example.net,658.401.329-42,(041) 1685-8084,1999-11-15,Outro,"Trevo de Camargo, 92",da Mata da Praia,AC,18814-313,2023-09-20T00:00:00,2024-07-28T00:00:00
2706,Emanuel Vargas,ericksampaio@example.net,179.038.642-03,31 4139 8171,1966-03-02,Outro,"Esplanada Fernando Silva, 89",Carvalho Paulista,TO,88822-707,2025-10-20T00:00:00,2026-05-15T00:00:00
2707,José Pedro Costa,luiz-gustavomendonca@example.net,298.014.675-76,41 7254 4917,1998-03-08,M,"Setor Araújo, 25",Fogaça da Prata,PA,24757-409,2024-12-27T00:00:00,2025-12-09T00:00:00
2708,Brenda Leão,tcirino@example.com,756.219.340-16,+55 (041) 7251 0434,1995-12-01,F,"Setor Valentim Fogaça, 78",Ribeiro,SP,42749986,2025-05-21T00:00:00,2026-05-07T00:00:00
2709,Isaque Porto,maria-eduardaalves@example.net,804.659.217-01,71 7363 2420,1962-07-25,F,"Condomínio Vinícius Moreira, 20",Ramos Alegre,RJ,62857-773,2026-01-06T00:00:00,2026-03-23T00:00:00
2710,Ana Sophia Ribeiro,alicecampos@example.com,427.038.569-38,+55 (031) 8443-8278,1971-07-23,M,"Parque de Moraes, 81",Nogueira da Serra,BA,68101-498,2023-02-17T00:00:00,2026-04-24T00:00:00
2711,André Casa Grande,carolinapires@example.org,785.320.941-04,41 3425 5439,1989-11-10,Outro,"Residencial Sá, 6",Moura,RS,30146-821,2023-11-11T00:00:00,2024-10-14T00:00:00
2712,João Miguel Porto,kaiquealmeida@example.net,317.845.092-05,+55 (011) 7869-2292,1963-08-04,Outro,Feira Rodrigues,Pereira,MG,02654214,2026-05-19T00:00:00,2026-06-07T00:00:00
2713,Sabrina Vargas,ycaldeira@example.net,472.698.150-11,84 4264-0088,1995-07-06,F,"Chácara de Machado, 12",Fonseca de Cavalcanti,AP,63638-031,2025-02-19T00:00:00,2025-06-03T00:00:00
2714,Otto Cirino,camaradaniel@example.net,968.174.053-00,(031) 7013 6352,1979-02-23,M,"Pátio Yuri Cirino, 44",Ramos,PR,13297-533,2025-12-30T00:00:00,2026-04-07T00:00:00
2715,Dr. Gustavo Henrique Rocha,dcampos@example.com,084.529.361-33,(041) 3510 8683,1989-03-04,Outro,"Núcleo de Brito, 19",Fogaça do Norte,PB,15958928,2023-08-11T00:00:00,2025-06-14T00:00:00
2716,Maya Lopes,peixotocaroline@example.com,253.894.617-46,81 3724 3805,1988-07-28,M,"Área de Ramos, 77",Freitas do Sul,AM,83434-838,2024-09-15T00:00:00,2024-12-19T00:00:00
2717,Srta. Lara Souza,alexandrecamara@example.com,125.674.839-00,(021) 3137 4202,1989-02-11,M,"Setor de Cardoso, 910",da Costa da Prata,TO,21321319,2026-02-06T00:00:00,2026-02-28T00:00:00
2718,Antônio Porto,lfonseca@example.net,786.145.290-58,(081) 8968 5942,2001-10-20,M,"Vereda de Castro, 90",Brito,CE,59129231,2026-05-20T00:00:00,2026-06-04T00:00:00
2719,Raul Montenegro,joana69@example.net,561.390.742-07,11 3882-7974,1955-04-19,F,"Viaduto de Macedo, 81",Abreu de Garcia,MA,56149-048,2024-02-12T00:00:00,2024-04-23T00:00:00
2720,Dr. Luiz Otávio Ribeiro,ianazevedo@example.org,948.125.036-98,+55 (031) 1748-8190,1997-05-18,F,"Residencial Gonçalves, 5",Leão da Praia,RO,16385731,2024-02-26T00:00:00,2024-10-21T00:00:00
2721,Maria Sophia Teixeira,maria-clara08@example.org,450.918.327-50,21 5263-5325,1975-08-20,F,"Travessa de Oliveira, 81",Andrade,AL,19134680,2025-12-09T00:00:00,2025-12-26T00:00:00
2722,Ian Jesus,fonsecacarolina@example.com,260.135.497-61,(081) 1819 3310,1966-04-06,M,"Quadra Yuri Gomes, 29",Borges,CE,38128-861,2025-01-24T00:00:00,2025-10-16T00:00:00
2723,Vitor Gabriel Abreu,ana-julianovaes@example.net,854.236.710-35,81 8025-4440,1981-10-27,F,"Chácara de Pereira, 67",Rios Alegre,CE,77942-049,2024-10-31T00:00:00,2025-12-25T00:00:00
2724,Anthony Pinto,amanda44@example.com,056.278.941-30,+55 61 7182 3130,1952-09-25,Outro,"Núcleo Sampaio, 87",Vasconcelos de Aragão,PA,26854027,2023-08-15T00:00:00,2024-05-05T00:00:00
2725,Caroline da Conceição,nicole90@example.net,269.048.135-98,(071) 7865-3863,2000-05-10,F,"Setor Ana Sophia da Mata, 267",Almeida do Galho,DF,64724221,2025-09-06T00:00:00,2025-10-11T00:00:00
2726,Davi Sampaio,brenda09@example.org,230.859.716-02,81 8426 0408,1988-10-04,M,"Vereda de Martins, 43",Ferreira Verde,MA,43224-901,2023-09-24T00:00:00,2026-03-03T00:00:00
2727,Giovanna Garcia,barbaravargas@example.com,704.896.352-29,31 2382-6646,1959-07-26,Outro,"Vale Viana, 594",Aragão do Amparo,PR,90296-591,2025-06-04T00:00:00,2026-06-02T00:00:00
2728,Mariah Barros,gaelda-rosa@example.org,092.451.867-76,41 6238-1277,1970-05-20,Outro,"Alameda Pires, 582",da Mota,MA,36998790,2023-11-22T00:00:00,2025-08-01T00:00:00
2729,Jade Fonseca,leticia43@example.com,381.962.547-09,+55 (031) 7685-5146,1991-09-08,Outro,"Lago de da Rocha, 95",Montenegro,RR,82161-352,2026-04-18T00:00:00,2026-04-30T00:00:00
2730,Maria Isis das Neves,claricepimenta@example.org,543.187.290-79,61 7700-6918,1966-04-10,M,"Loteamento Erick Mendonça, 729",Macedo de Silva,AC,91884437,2025-07-28T00:00:00,2025-12-16T00:00:00
2731,Maria Helena Sá,maria-eduardamartins@example.org,864.507.192-49,+55 41 4926-8132,1959-08-14,M,"Colônia Novais, 532",Casa Grande das Flores,TO,62840-887,2023-10-20T00:00:00,2025-01-18T00:00:00
2732,Larissa Mendonça,ana-carolina65@example.net,530.784.291-05,+55 71 3811 1844,2003-06-29,M,"Esplanada de Costa, 66",Siqueira do Norte,PE,53413016,2025-03-28T00:00:00,2026-01-31T00:00:00
2733,Eloá Farias,martinsrael@example.net,931.547.860-66,(084) 6238 7070,1962-11-13,F,"Esplanada de Castro, 59",Sales de Cassiano,PB,50188-505,2024-11-04T00:00:00,2026-06-09T00:00:00
2734,Léo da Mata,luigi55@example.org,628.409.137-04,+55 21 4105 8725,1965-12-12,M,"Quadra da Mata, 93",Vieira,SC,56231-939,2025-08-05T00:00:00,2026-05-26T00:00:00
2735,Daniela Souza,azevedobianca@example.net,041.759.286-85,71 4982-1495,1957-04-26,Outro,"Jardim de Vieira, 72",Vasconcelos Verde,PB,98626405,2023-07-06T00:00:00,2025-02-14T00:00:00
2736,Catarina Moraes,juliafarias@example.com,034.761.895-20,71 7072 7297,1968-05-17,F,"Campo Cavalcanti, 7",Albuquerque,RN,06558-988,2024-12-11T00:00:00,2025-10-11T00:00:00
2737,Dra. Lara Abreu,poliveira@example.com,291.407.853-60,(061) 9708 8123,1987-04-16,M,"Estação Ana Beatriz Fonseca, 77",Almeida,CE,50872-800,2023-12-25T00:00:00,2025-02-22T00:00:00
2738,Valentina Sampaio,mathiasda-rocha@example.net,472.956.108-20,(071) 3643 8610,1991-05-24,F,"Largo Jesus, 48",Moura Paulista,RO,71640612,2025-06-03T00:00:00,2026-01-23T00:00:00
2739,Isis Vasconcelos,ian05@example.com,178.652.390-68,11 1565 6182,1959-06-10,Outro,"Colônia de Albuquerque, 43",Monteiro do Oeste,AM,39122246,2024-01-11T00:00:00,2025-12-26T00:00:00
2740,Renan Campos,caldeiraalexandre@example.org,719.403.582-05,+55 31 6870-2889,1978-08-22,M,"Recanto de Porto, 67",Silva,ES,67539-527,2025-03-16T00:00:00,2026-03-08T00:00:00
2741,Lucca Abreu,helenacunha@example.net,532.714.698-73,+55 61 1637 0395,1965-01-01,Outro,"Estrada de Cavalcanti, 39",Lima,PI,90821-127,2023-11-20T00:00:00,2024-08-26T00:00:00
2742,Gustavo Oliveira,isaac46@example.org,760.149.253-25,61 6381 7781,1977-12-30,Outro,Viela Borges,Fonseca de Minas,SC,68679671,2024-08-20T00:00:00,2024-10-27T00:00:00
2743,Srta. Carolina Sampaio,isadora29@example.org,823.570.416-17,+55 21 9492-5839,1957-07-13,F,Fazenda João Felipe Aragão,Ramos,SP,14884-660,2024-03-20T00:00:00,2025-08-07T00:00:00
2744,Aurora Castro,bento56@example.net,760.423.598-00,+55 (011) 6546 3960,2004-08-04,F,"Travessa Caroline Cassiano, 35",das Neves,AP,78512590,2026-02-06T00:00:00,2026-02-21T00:00:00
2745,Rhavi Camargo,peixotomelina@example.org,841.376.520-07,(081) 3243 8004,1973-11-23,F,Morro Melina Brito,Santos da Prata,PA,17670-439,2023-08-04T00:00:00,2026-06-02T00:00:00
2746,Beatriz Cunha,anavieira@example.net,679.824.015-11,21 9954-5487,1991-04-30,F,"Loteamento Câmara, 5",Rodrigues,DF,24788749,2025-07-12T00:00:00,2025-10-04T00:00:00
2747,Dr. Pedro Lucas Carvalho,maria-lizmoura@example.org,149.506.287-20,+55 (071) 6350 8786,1992-12-16,F,"Praça de Moraes, 653",Fernandes do Amparo,AC,59339309,2025-11-02T00:00:00,2025-11-13T00:00:00
2748,Oliver Marques,calves@example.net,362.470.198-31,(031) 6916 2730,1982-07-03,F,"Esplanada Ramos, 7",Azevedo de da Luz,MT,27326-194,2023-05-30T00:00:00,2025-12-30T00:00:00
2749,Bruno Sales,samuellopes@example.org,483.261.709-50,+55 (021) 4336-5333,1985-03-11,M,"Esplanada de Peixoto, 25",Lopes da Serra,MG,39362169,2025-03-28T00:00:00,2026-06-09T00:00:00
2750,Dr. Liam Rezende,kda-conceicao@example.org,394.718.250-32,+55 84 0057-3573,1992-03-06,F,"Largo de Cardoso, 80",Azevedo Alegre,AM,70982380,2023-03-19T00:00:00,2023-04-09T00:00:00
2751,Rafaela Correia,vitor-gabriel67@example.com,576.809.321-40,84 2651-5058,1984-11-27,Outro,"Avenida Pedro Lucas Pimenta, 21",Machado dos Dourados,SC,68454-277,2023-10-07T00:00:00,2024-09-05T00:00:00
2752,Francisco Barros,vitor-hugo43@example.net,749.250.381-41,(041) 7129 9328,1986-04-14,F,"Via de Brito, 69",Pereira,AP,47196041,2025-08-08T00:00:00,2026-04-13T00:00:00
2753,Mariah Moreira,heitor51@example.com,098.346.152-05,(084) 0844 1016,1979-02-18,Outro,"Conjunto Borges, 66",Moura dos Dourados,PB,46581-596,2023-06-19T00:00:00,2024-10-27T00:00:00
2754,Larissa Pimenta,mariaalmeida@example.net,562.179.308-03,21 9835 2578,1984-08-24,F,"Viaduto Luigi Farias, 358",Teixeira,TO,30866-934,2023-10-15T00:00:00,2025-02-08T00:00:00
2755,Ryan da Mota,maria-fernandaoliveira@example.com,925.604.387-47,(061) 8629-1581,1967-03-18,M,"Quadra Thales Mendes, 34",Fogaça de Barbosa,RN,10101007,2023-11-27T00:00:00,2024-05-19T00:00:00
2756,Oliver Câmara,da-conceicaodiogo@example.org,356.978.042-29,+55 21 2042-8703,1983-08-19,F,"Feira Ravi Lucca Cassiano, 36",Freitas,AM,56229651,2023-07-25T00:00:00,2024-07-21T00:00:00
2757,Sr. Ryan Casa Grande,leaofernando@example.com,916.435.027-43,61 5502-9406,1959-03-28,M,"Trevo de Rodrigues, 124",Cassiano da Praia,AP,49746349,2025-12-30T00:00:00,2026-04-09T00:00:00
2758,Luara da Conceição,ryan74@example.net,529.178.306-03,(084) 0711-7633,1975-07-26,M,"Colônia Davi Lucca Freitas, 6",Mendes Grande,PB,12958-553,2023-01-23T00:00:00,2024-08-04T00:00:00
2759,Antônio Barbosa,isadoracorreia@example.com,608.245.913-05,+55 11 6091 1794,1985-10-23,M,"Estação de Correia, 88",Ferreira,RR,54717-584,2025-01-03T00:00:00,2025-07-04T00:00:00
2760,Maysa Aragão,pachecomariana@example.net,819.046.527-94,+55 (081) 3706-1978,1976-04-17,M,"Estação de Ramos, 8",Mendonça do Amparo,PB,36761179,2023-03-12T00:00:00,2026-03-06T00:00:00
2761,Sra. Bruna Jesus,ylopes@example.com,157.043.628-26,+55 (061) 1788 3758,1978-11-09,Outro,"Trecho Fernanda Barros, 302",Peixoto de da Cruz,RO,67488-518,2023-04-08T00:00:00,2026-03-13T00:00:00
2762,Marcela Borges,hadassacamara@example.com,213.746.809-31,(084) 7355-5636,1983-07-09,Outro,"Travessa Vitor da Cunha, 4",da Cruz,MA,70261-376,2023-07-30T00:00:00,2025-10-06T00:00:00
2763,Bento Câmara,luiz-otavio33@example.org,907.514.382-60,+55 (051) 3389 4803,1978-01-07,Outro,"Aeroporto Barros, 701",Cassiano,AC,08195-985,2025-06-28T00:00:00,2025-07-24T00:00:00
2764,Valentim Lopes,yteixeira@example.com,745.012.836-53,(051) 3237-7683,2001-07-20,M,"Setor Isadora Cavalcanti, 5",Campos de Minas,ES,65082572,2023-04-10T00:00:00,2025-05-21T00:00:00
2765,Maria Laura Pimenta,emartins@example.com,569.748.302-38,+55 (084) 5634-8379,1992-10-30,M,"Estrada Lima, 297",da Paz de Freitas,DF,33571772,2025-02-06T00:00:00,2026-05-17T00:00:00
2766,Maria Flor Pimenta,goncalvesalexia@example.com,290.853.714-14,+55 21 7523-0393,2006-07-19,F,"Colônia Alves, 56",Caldeira,AC,95825-222,2023-07-07T00:00:00,2023-08-08T00:00:00
2767,Ana Lívia Sousa,riossophie@example.net,408.612.573-08,+55 81 3464-8186,1992-09-03,M,"Morro Gonçalves, 87",Nascimento,RO,52850965,2023-01-30T00:00:00,2024-12-20T00:00:00
2768,Ágatha Garcia,ian89@example.org,247.165.893-82,(041) 6939-9806,1980-07-18,M,Distrito Fonseca,Barbosa dos Dourados,SE,91593164,2023-05-10T00:00:00,2024-08-03T00:00:00
2769,Evelyn Silveira,dnogueira@example.net,507.489.236-83,(061) 7221 9693,2005-07-02,M,Aeroporto de Cavalcante,Alves,AL,51858237,2023-12-10T00:00:00,2025-12-20T00:00:00
2770,Beatriz Novaes,vicente67@example.net,427.103.695-16,(061) 5320-8159,1963-04-26,M,"Ladeira Aragão, 4",Fogaça,TO,46536-520,2025-05-01T00:00:00,2026-01-18T00:00:00
2771,Sra. Isabelly Oliveira,freitascaleb@example.com,580.237.164-17,+55 (071) 5997 5595,1994-10-19,Outro,Campo Vasconcelos,Montenegro,RS,98202-542,2024-10-31T00:00:00,2025-09-26T00:00:00
2772,Antony Câmara,fernandesaugusto@example.com,801.623.975-77,+55 71 3184 8032,1979-11-13,M,Lago de Cardoso,Mendonça de Nogueira,PI,08468425,2024-01-24T00:00:00,2025-10-24T00:00:00
2773,Matheus Nogueira,guilhermealmeida@example.net,465.372.109-25,(041) 5454 1913,1996-10-25,M,"Núcleo Ana Laura Cirino, 37",Camargo da Prata,ES,28489359,2025-03-20T00:00:00,2025-10-25T00:00:00
2774,Sarah Freitas,araujofernando@example.com,718.235.946-46,(071) 9372-1877,1988-04-04,F,"Núcleo de Rodrigues, 9",Santos de Goiás,MT,46696-017,2024-03-13T00:00:00,2024-06-29T00:00:00
2775,André Nunes,bgarcia@example.org,234.817.690-40,(071) 1430 9177,2002-10-01,F,"Pátio de Santos, 1",Pereira,RS,61786106,2023-12-22T00:00:00,2024-01-06T00:00:00
2776,Sra. Maria Alice da Rosa,enzo69@example.org,381.674.059-66,+55 41 4080 1748,1998-04-06,F,"Praça Borges, 28",Carvalho,DF,48073-046,2024-10-09T00:00:00,2024-10-21T00:00:00
2777,Srta. Pietra das Neves,mferreira@example.com,357.902.486-83,31 0353 9433,1980-08-02,M,"Condomínio Ana Julia Pacheco, 46",Novaes de Araújo,RO,45159-865,2025-07-28T00:00:00,2025-11-17T00:00:00
2778,Melina da Conceição,martinsvalentina@example.net,514.368.092-15,84 6651-6166,1953-10-30,Outro,"Trevo de Sampaio, 70",Gonçalves,MS,30482102,2024-07-24T00:00:00,2026-05-20T00:00:00
2779,Mateus Moura,nascimentolucas-gabriel@example.net,795.634.021-70,+55 (011) 3209 9152,1955-01-19,M,"Parque Vinícius Garcia, 3",Moura,PA,53282-286,2023-03-31T00:00:00,2023-08-15T00:00:00
2780,João Santos,da-luzgael-henrique@example.net,346.982.051-15,+55 51 8436 0643,1982-04-29,F,"Conjunto Macedo, 63",Nogueira,AM,40030830,2024-09-09T00:00:00,2026-05-15T00:00:00
2781,João Vitor Siqueira,pereiravitoria@example.net,562.749.813-73,(081) 5319 0559,1990-02-27,M,"Chácara de Montenegro, 553",Silveira da Mata,GO,90072-749,2026-01-03T00:00:00,2026-05-28T00:00:00
2782,Sr. Nicolas Pacheco,palbuquerque@example.net,418.025.697-58,(041) 0522 5725,1984-08-08,Outro,"Alameda Teixeira, 1",Ribeiro,RR,52994-558,2023-07-14T00:00:00,2025-05-08T00:00:00
